"","name","college","position","id","age","birthDate","draftYear","draftRound","pickInDraftRound","draftPick"
"61","Kayshon Boutte","LSU","WR","00-0038608",22.1,2002-05-07,2023,6,10,"187"
"62","Rashee Rice","SMU","WR","00-0039067",24.1,2000-04-22,2023,2,24,"55"
"63","Dontayvion Wicks","Virginia","WR","00-0038393",23,2001-06-16,2023,5,24,"159"
"64","A.T. Perry","Wake Forest","WR","00-0038612",24.6,1999-10-26,2023,6,18,"195"
"65","Jonathan Mingo","Ole Miss","WR","00-0039062",23.1,2001-04-20,2023,2,8,"39"
"66","Rakim Jarrett","Maryland","WR","00-0038821",23.4,2001-01-24,2023,NA,NA,NA
"67","Trey Palmer","Nebraska","WR","00-0039052",23.2,2001-04-02,2023,6,14,"191"
"68","Dontay Demus","Maryland","WR","00-0038447",23.4,2000-09-26,2023,NA,NA,NA
"69","Xavier Hutchinson","Iowa State","WR","00-0038618",24,2000-06-01,2023,6,28,"205"
"70","Ronnie Bell","Michigan","WR","00-0038647",24.4,2000-01-28,2023,7,36,"253"
"71","Charlie Jones","Purdue","WR","00-0038576",25.6,1998-10-29,2023,4,29,"131"
"72","Tank Dell","Houston","WR","00-0038977",24.6,1999-10-29,2023,3,6,"69"
"73","Tyler Scott","Cincinnati","WR","00-0038941",22.7,2001-10-12,2023,4,31,"133"
"74","Michael Wilson","Stanford","WR","00-0038559",24.3,2000-02-23,2023,3,31,"94"
"75","Andrei Iosivas","Princeton","WR","00-0038619",24.6,1999-10-15,2023,6,29,"206"
"76","CJ Johnson","East Carolina","WR",NA,23.3,2000-11-04,2023,NA,NA,NA
"77","Jadon Haselwood","Arkansas","WR","00-0038483",22.8,2001-04-15,2023,NA,NA,NA
"78","Justin Shorter","Florida","WR","00-0038590",24.1,2000-04-17,2023,5,15,"150"
"79","Puka Nacua","BYU","WR","00-0039075",23,2001-05-29,2023,5,42,"177"
"80","Joseph Ngata","Clemson","WR","00-0038484",23.4,2001-01-09,2023,NA,NA,NA
"81","Tre Tucker","Cincinnati","WR","00-0038563",23.2,2001-03-08,2023,3,37,"100"
"82","Derius Davis","TCU","WR","00-0038573",23.7,2000-09-11,2023,4,23,"125"
"83","Demario Douglas","Liberty","WR","00-0038621",23.5,2000-12-08,2023,6,33,"210"
"84","Antoine Green","North Carolina","WR","00-0038627",24.6,1999-11-15,2023,7,2,"219"
"85","Colton Dowell","Tennessee-Martin","WR","00-0038632",25.1,1999-04-19,2023,7,11,"228"
"86","Jalen Brooks","South Carolina","WR","00-0038640",24.1,2000-05-07,2023,7,27,"244"
"87","Grant Dubose","Charlotte","WR",NA,23,2001-06-20,2023,7,39,"256"
"88","Bryce Ford-Wheaton","West Virginia","WR","00-0038477",24.2,2000-03-09,2023,NA,NA,NA
"89","Isaiah Winstead","East Carolina","WR","00-0038883",24.5,1999-08-09,2023,NA,NA,NA
"90","David Durden","West Florida","WR","00-0038734",25.4,1998-12-26,2023,NA,NA,NA
"91","Jake Bobo","UCLA","WR","00-0038752",25.8,1998-08-04,2023,NA,NA,NA
"92","Keytaon Thompson","Virginia","WR",NA,25.3,1998-10-23,2023,NA,NA,NA
"93","Jalen Cropper","Fresno State","WR",NA,22.8,2001-05-03,2023,NA,NA,NA
"94","Malik Flowers","Montana","WR","00-0038904",24.6,1999-06-23,2023,NA,NA,NA
"95","Matt Landers","Arkansas","WR","00-0038762",24.7,1999-06-16,2023,NA,NA,NA
"96","Jacob Copeland","Maryland","WR","00-0038843",24.6,1999-07-20,2023,NA,NA,NA
"97","Mitchell Tinsley","Penn State","WR","00-0038839",24.7,1999-09-15,2023,NA,NA,NA
"98","Garett Maag","North Dakota State","WR","00-0039043",24.1,2000-01-01,2023,NA,NA,NA
"99","Pokey Wilson","Florida State","WR",NA,24.5,1999-08-12,2023,NA,NA,NA
"100","Malik Heath","Ole Miss","WR","00-0038465",24.3,2000-03-03,2023,NA,NA,NA
"101","Xavier Gipson","Stephen F. Austin","WR","00-0038496",23.2,2001-03-08,2023,NA,NA,NA
"102","Nikko Remigio","Fresno State","WR","00-0038519",24.6,1999-11-04,2023,NA,NA,NA
"103","Jason Brownlee","Southern Miss","WR","00-0038492",25.4,1999-01-30,2023,NA,NA,NA
"104","Mac Hippenhammer","Miami (OH)","WR","00-0038887",25.3,1998-11-05,2023,NA,NA,NA
"105","Xavier Smith","Florida A&M","WR","00-0038359",26.7,1997-09-21,2023,NA,NA,NA
"106","Dylan Drummond","Eastern Michigan","WR","00-0038953",24.4,2000-01-17,2023,NA,NA,NA
"107","Jaray Jenkins","LSU","WR","00-0038671",24.1,2000-01-04,2023,NA,NA,NA
"108","Chase Cota","Oregon","WR","00-0038651",24.6,1999-11-09,2023,NA,NA,NA
"109","Daniel Arias","Colorado","WR","00-0038702",25.8,1998-09-02,2023,NA,NA,NA
"110","Shaquan Davis","South Carolina State","WR","00-0038902",24,2000-02-08,2023,NA,NA,NA
"111","Tyrell Shavers","San Diego State","WR","00-0038679",24.8,1999-08-18,2023,NA,NA,NA
"112","Elijah Cooks","San Jose State","WR","00-0038667",25.7,1998-10-13,2023,NA,NA,NA
"113","Kearis Jackson","Georgia","WR","00-0038969",24.5,1999-12-09,2023,NA,NA,NA
"114","Shedrick Jackson","Auburn","WR","00-0038891",24.6,1999-10-20,2023,NA,NA,NA
"115","Jerrion Ealy","Mississippi","WR",NA,23.5,2000-08-19,2022,NA,NA,NA
"116","Drake London","USC","WR","00-0037238",22.9,2001-07-24,2022,1,8,"8"
"117","Treylon Burks","Arkansas","WR","00-0037742",24.2,2000-03-23,2022,1,18,"18"
"118","Garrett Wilson","Ohio State","WR","00-0037740",23.9,2000-07-22,2022,1,10,"10"
"119","Chris Olave","Ohio State","WR","00-0037239",23.9,2000-06-27,2022,1,11,"11"
"120","Jahan Dotson","Penn State","WR","00-0037741",24.2,2000-03-22,2022,1,16,"16"
"121","Jameson Williams","Alabama","WR","00-0037240",23.2,2001-03-26,2022,1,12,"12"
"122","Wan'Dale Robinson","Kentucky","WR","00-0038117",23.4,2001-01-05,2022,2,11,"43"
"123","David Bell","Purdue","WR","00-0037257",23.5,2000-12-14,2022,3,35,"99"
"124","John Metchie","Alabama","WR","00-0037614",23.9,2000-07-18,2022,2,12,"44"
"125","Slade Bolden","Alabama","WR","00-0037173",24.1,1999-01-26,2022,NA,NA,NA
"126","Khalil Shakir","Boise State","WR","00-0037261",24.3,2000-02-03,2022,5,5,"148"
"127","George Pickens","Georgia","WR","00-0037247",23.3,2001-03-04,2022,2,20,"52"
"128","Justyn Ross","Clemson","WR","00-0037216",24.5,1999-12-15,2022,NA,NA,NA
"129","Kevin Austin","Notre Dame","WR","00-0037231",23.9,2000-03-30,2022,NA,NA,NA
"130","Skyy Moore","Western Michigan","WR","00-0038090",23.7,2000-09-10,2022,2,22,"54"
"131","Velus Jones","Tennessee","WR","00-0037745",27.1,1997-05-11,2022,3,7,"71"
"132","Alec Pierce","Cincinnati","WR","00-0037664",24.1,2000-05-02,2022,2,21,"53"
"133","Reggie Roberson","SMU","WR","00-0037604",26.8,1997-04-14,2022,NA,NA,NA
"134","Tre Turner","Virginia Tech","WR",NA,22.8,2000-04-21,2022,NA,NA,NA
"135","Tay Martin","Oklahoma State","WR","00-0037524",26.5,1997-12-14,2022,NA,NA,NA
"136","Britain Covey","Utah","WR","00-0037132",27.2,1997-03-18,2022,NA,NA,NA
"137","Makai Polk","Mississippi State","WR","00-0037183",22.5,2001-08-04,2022,NA,NA,NA
"138","Dontario Drummond","Mississippi","WR","00-0037564",26.5,1997-08-22,2022,NA,NA,NA
"139","Braylon Sanders","Mississippi","WR","00-0037355",25.4,1999-01-21,2022,NA,NA,NA
"140","Charleston Rambo","Miami (FL)","WR","00-0037366",23.5,1999-08-10,2022,NA,NA,NA
"141","Calvin Austin III","Memphis","WR","00-0037837",25.2,1999-03-24,2022,4,33,"138"
"142","Dai'Jean Dixon","Nicholls State","WR","00-0037042",24.4,1998-10-16,2022,NA,NA,NA
"143","Romeo Doubs","Nevada","WR","00-0037816",24.2,2000-04-13,2022,4,27,"132"
"144","Erik Ezukanma","Texas Tech","WR","00-0038092",24.4,2000-01-25,2022,4,20,"125"
"145","Ty Fryfogle","Indiana","WR","00-0037566",25,1999-01-28,2022,NA,NA,NA
"146","Danny Gray","SMU","WR","00-0037828",25.2,1999-04-01,2022,3,41,"105"
"147","Johnny Johnson","Oregon","WR","00-0037460",25.1,1999-05-04,2022,NA,NA,NA
"148","Josh Johnson","Tulsa","WR",NA,23.5,1999-08-10,2022,NA,NA,NA
"149","Bo Melton","Rutgers","WR","00-0037091",25.1,1999-05-18,2022,7,8,"229"
"150","Jalen Nailor","Michigan State","WR","00-0037291",25.3,1999-03-02,2022,6,12,"191"
"151","Tyquan Thornton","Baylor","WR","00-0038104",23.7,2000-09-07,2022,2,18,"50"
"152","Jalen Tolbert","South Alabama","WR","00-0037666",25.3,1999-02-27,2022,3,24,"88"
"153","Christian Watson","North Dakota State","WR","00-0038124",25.1,1999-05-12,2022,2,2,"34"
"154","Isaiah Weston","Northern Iowa","WR","00-0037343",26.3,1997-10-25,2022,NA,NA,NA
"155","Devon Williams","Oregon","WR","00-0037187",22.6,2000-07-06,2022,NA,NA,NA
"156","Michael Woods","Oklahoma","WR",NA,24.2,2000-03-19,2022,6,23,"202"
"157","Samori Toure","Nebraska","WR","00-0037098",26.2,1998-03-24,2022,7,37,"258"
"158","Devon Allen","Oregon","WR","00-0037039",29.5,1994-12-12,2022,NA,NA,NA
"159","Montrell Washington","Samford","WR","00-0037272",26.2,1998-03-14,2022,5,19,"162"
"160","Kyle Philips","UCLA","WR","00-0037273",25,1999-06-17,2022,5,20,"163"
"161","Dareke Young","Lenoir-Rhyne","WR","00-0037093",25,1999-06-04,2022,7,12,"233"
"162","Jerreth Sterns","Western Kentucky","WR","00-0037486",24.6,1999-07-01,2022,NA,NA,NA
"163","Deven Thompkins","Utah State","WR","00-0037487",24.5,1999-12-23,2022,NA,NA,NA
"164","Lujuan Winningham","Central Arkansas","WR","00-0037071",23.9,1999-04-01,2022,NA,NA,NA
"165","KaVontae Turpin","TCU","WR","00-0037801",27.8,1996-08-02,2022,NA,NA,NA
"166","Dennis Houston","Western Illinois","WR","00-0037570",25.1,1999-04-24,2022,NA,NA,NA
"167","Irvin Charles","Indiana (PA)","WR","00-0037156",27.2,1997-04-13,2022,NA,NA,NA
"168","Brandon Johnson","UCF","WR","00-0037382",25.9,1998-07-26,2022,NA,NA,NA
"169","Shemar Bridges","Fort Valley State","WR","00-0037174",26.1,1997-12-26,2022,NA,NA,NA
"170","Lance McCutcheon","Montana State","WR","00-0037055",25.3,1999-02-28,2022,NA,NA,NA
"171","Jalen Virgil","Appalachian State","WR","00-0037387",25.9,1998-07-13,2022,NA,NA,NA
"172","Danny Davis","Wisconsin","WR","00-0037119",25.1,1998-01-20,2022,NA,NA,NA
"173","Jared Bernhardt","Ferris State","WR","00-0037580",26.2,1997-12-12,2022,NA,NA,NA
"174","Kendric Pryor","Wisconsin","WR","00-0037422",26.4,1998-01-06,2022,NA,NA,NA
"175","Raleigh Webb","The Citadel","WR","00-0037185",26.4,1997-12-28,2022,NA,NA,NA
"176","Rashid Shaheed","Weber State","WR","00-0037545",25.8,1998-08-31,2022,NA,NA,NA
"177","Stanley Berryhill","Arizona","WR","00-0037581",25.7,1998-06-09,2022,NA,NA,NA
"178","Kyric McGowan","Georgia Tech","WR","00-0037172",24.3,1999-11-01,2022,NA,NA,NA
"179","Daylen Baldwin","Michigan","WR","00-0038147",24.2,1999-11-24,2022,NA,NA,NA
"180","Kwamie Lassiter","Kansas","WR","00-0037420",26.4,1998-01-21,2022,NA,NA,NA
"181","Ja'Marr Chase","LSU","WR","00-0036900",24.3,2000-03-01,2021,1,5,"5"
"182","DeVonta Smith","Alabama","WR","00-0036912",25.6,1998-11-14,2021,1,10,"10"
"183","Rondale Moore","Purdue","WR","00-0036936",24,2000-06-09,2021,2,17,"49"
"184","Jaylen Waddle","Alabama","WR","00-0036613",25.5,1998-11-25,2021,1,6,"6"
"185","Tylan Wallace","Oklahoma State","WR","00-0036630",25.1,1999-05-13,2021,4,26,"131"
"186","Seth Williams","Auburn","WR","00-0036657",24.2,2000-04-10,2021,6,35,"219"
"187","Amon-Ra St. Brown","USC","WR","00-0036963",24.6,1999-10-24,2021,4,7,"112"
"188","Elijah Moore","Mississippi","WR","00-0036980",24.2,2000-03-27,2021,2,2,"34"
"189","Kadarius Toney","Florida","WR","00-0036913",25.4,1999-01-27,2021,1,20,"20"
"190","Nico Collins","Michigan","WR","00-0036554",25.2,1999-03-19,2021,3,25,"89"
"191","Dazz Newsome","North Carolina","WR","00-0036907",24.7,1999-05-15,2021,6,37,"221"
"192","Dyami Brown","North Carolina","WR","00-0036626",24.6,1999-11-01,2021,3,18,"82"
"193","Rashod Bateman","Minnesota","WR","00-0036550",24.5,1999-11-29,2021,1,27,"27"
"194","Whop Philyor","Indiana","WR",NA,23.6,1998-07-31,2021,NA,NA,NA
"195","Sage Surratt","Wake Forest","WR",NA,24.9,1998-04-13,2021,NA,NA,NA
"196","Anthony Schwartz","Auburn","WR","00-0036999",23.8,2000-09-05,2021,3,27,"91"
"197","Amari Rodgers","Clemson","WR","00-0036991",24.7,1999-09-23,2021,3,21,"85"
"198","Shi Smith","South Carolina","WR","00-0036572",25.6,1998-10-26,2021,6,20,"204"
"199","Damonte Coxie","Memphis","WR",NA,NA,NA,2021,NA,NA,NA
"200","Warren Jackson","Colorado State","WR","00-0036721",23.7,1999-06-16,2021,NA,NA,NA
"201","Tutu Atwell","Louisville","WR","00-0036849",24.7,1999-10-07,2021,2,25,"57"
"202","D'Wayne Eskridge","Western Michigan","WR","00-0036620",27.2,1997-03-23,2021,2,24,"56"
"203","Simi Fehoko","Stanford","WR","00-0036646",26.6,1997-11-05,2021,5,35,"179"
"204","Frank Darby","Arizona State","WR","00-0036951",26.7,1997-09-08,2021,6,3,"187"
"205","Brennan Eagles","Texas","WR",NA,23.3,1998-10-24,2021,NA,NA,NA
"206","Tre Nixon","UCF","WR","00-0036536",26.4,1998-01-26,2021,7,14,"242"
"207","T.J. Vasher","Texas Tech","WR","00-0036776",24.5,1998-08-29,2021,NA,NA,NA
"208","Terrace Marshall","LSU","WR","00-0036955",24,2000-06-09,2021,2,27,"59"
"209","Osirus Mitchell","Mississippi State","WR","00-0036773",25.4,1997-09-15,2021,NA,NA,NA
"210","Marlon Williams","Central Florida","WR",NA,NA,NA,2021,NA,NA,NA
"211","Dillon Stoner","Oklahoma State","WR","00-0036526",25,1998-02-06,2021,NA,NA,NA
"212","Tyler Vaughns","USC","WR","00-0036495",25.7,1997-06-01,2021,NA,NA,NA
"213","Racey McMath","LSU","WR","00-0036652",25,1999-06-14,2021,6,21,"205"
"214","Josh Imatorbhebhe","Illinois","WR",NA,24.9,1998-04-12,2021,NA,NA,NA
"215","Isaiah McKoy","Kent State","WR",NA,22.1,2000-01-23,2021,NA,NA,NA
"216","Cornell Powell","Clemson","WR","00-0036647",26.6,1997-10-30,2021,5,37,"181"
"217","Marquez Stevenson","Houston","WR","00-0036571",25.9,1998-03-26,2021,6,19,"203"
"218","Tamorrion Terry","Florida State","WR",NA,24.9,1998-03-21,2021,NA,NA,NA
"219","Josh Palmer","Tennessee","WR","00-0036988",24.7,1999-09-22,2021,3,13,"77"
"220","Tre Walker","San Jose State","WR",NA,NA,NA,2021,NA,NA,NA
"221","Jaelon Darden","North Texas","WR","00-0036877",25.4,1999-01-14,2021,4,24,"129"
"222","Jhamon Ausbon","Texas A&M","WR",NA,23.5,1999-09-03,2021,NA,NA,NA
"223","Trevon Grimes","Florida","WR",NA,NA,NA,2021,NA,NA,NA
"224","Austin Watkins","UAB","WR","00-0036676",26.3,1998-02-16,2021,NA,NA,NA
"225","Cade Johnson","South Dakota State","WR","00-0036810",25.8,1998-04-10,2021,NA,NA,NA
"226","Dax Milne","Brigham Young","WR","00-0036671",25,1999-06-23,2021,7,30,"258"
"227","Jonathan Adams","Arkansas State","WR",NA,24.1,1999-01-21,2021,NA,NA,NA
"228","Tarik Black","Texas","WR","00-0036491",25,1998-02-10,2021,NA,NA,NA
"229","Micah Simon","Brigham Young","WR","00-0036470",24.7,1997-05-28,2021,NA,NA,NA
"230","Dez Fitzpatrick","Louisville","WR","00-0036627",26.5,1997-12-17,2021,4,4,"109"
"231","Jacob Harris","UCF","WR","00-0036918",27.1,1997-04-16,2021,4,36,"141"
"232","Ihmir Smith-Marsette","Iowa","WR","00-0036635",24.8,1999-08-29,2021,5,13,"157"
"233","Jalen Camp","Georgia Tech","WR","00-0036858",25.9,1998-07-10,2021,6,25,"209"
"234","Mike Strachan","Charleston","WR","00-0036482",26.8,1997-08-13,2021,7,1,"229"
"235","Ben Skowronek","Notre Dame","WR","00-0036862",26.9,1997-06-27,2021,7,21,"249"
"236","Kawaan Baker","South Alabama","WR","00-0036939",25.5,1998-08-24,2021,7,27,"255"
"237","Javon McKinley","Notre Dame","WR","00-0036750",24.9,1998-04-10,2021,NA,NA,NA
"238","Blake Proehl","East Carolina","WR","00-0036818",25.1,1999-01-12,2021,NA,NA,NA
"239","Damon Hazelton","Missouri","WR","00-0036782",26,1997-02-28,2021,NA,NA,NA
"240","Antonio Nunn","Buffalo","WR",NA,25.4,1996-09-14,2021,NA,NA,NA
"241","Rico Bussey","Hawaii","WR","00-0036541",24,1998-02-25,2021,NA,NA,NA
"242","Landen Akers","Iowa State","WR","00-0036598",25.6,1997-07-07,2021,NA,NA,NA
"243","Michael Bandy","San Diego","WR","00-0036959",26.5,1997-12-05,2021,NA,NA,NA
"244","C.J. Saunders","Ohio State","WR","00-0036910",27.4,1996-09-15,2021,NA,NA,NA
"245","DJ Turner","Pittsburgh","WR","00-0036527",27.4,1997-01-18,2021,NA,NA,NA
"246","Tim Jones","Southern Miss","WR","00-0036497",26.1,1998-05-16,2021,NA,NA,NA
"247","Maurice Alexander","Florida International","WR","00-0037708",27.4,1997-01-10,2021,NA,NA,NA
"248","Austin Trammell","Rice","WR","00-0036841",25.9,1998-07-04,2021,NA,NA,NA
"249","Chris Blair","Alcorn State","WR","00-0036463",26.7,1997-10-06,2021,NA,NA,NA
"250","CeeDee Lamb","Oklahoma","WR","00-0036358",25.2,1999-04-08,2020,1,17,"17"
"251","Jerry Jeudy","Alabama","WR","00-0036407",25.1,1999-04-24,2020,1,15,"15"
"252","Henry Ruggs","Alabama","WR","00-0036357",25.4,1999-01-24,2020,1,12,"12"
"253","Tee Higgins","Clemson","WR","00-0036410",25.4,1999-01-28,2020,2,1,"33"
"254","Justin Jefferson","LSU","WR","00-0036322",25,1999-06-16,2020,1,22,"22"
"255","KJ Hamler","Penn State","WR","00-0036412",24.9,1999-07-08,2020,2,14,"46"
"256","Laviska Shenault","Colorado","WR","00-0036268",25.7,1998-10-05,2020,2,10,"42"
"257","Jalen Reagor","TCU","WR","00-0036387",25.4,1999-01-01,2020,1,21,"21"
"258","Brandon Aiyuk","Arizona State","WR","00-0036261",26.2,1998-03-17,2020,1,25,"25"
"259","Chase Claypool","Notre Dame","WR","00-0036326",25.9,1998-07-07,2020,2,17,"49"
"260","Michael Pittman","USC","WR","00-0036252",26.7,1997-10-05,2020,2,2,"34"
"261","Lynn Bowden","Kentucky","WR","00-0036364",26.6,1997-10-14,2020,3,16,"80"
"262","Bryan Edwards","South Carolina","WR","00-0036365",25.6,1998-11-13,2020,3,17,"81"
"263","Gabriel Davis","UCF","WR","00-0036196",25.2,1999-04-01,2020,4,22,"128"
"264","Denzel Mims","Baylor","WR","00-0036255",26.7,1997-10-10,2020,2,27,"59"
"265","Devin Duvernay","Texas","WR","00-0036331",26.7,1997-09-12,2020,3,28,"92"
"266","James Proche","SMU","WR","00-0036133",27.7,1996-09-21,2020,6,22,"201"
"267","Isaiah Hodgins","Oregon State","WR","00-0036165",25.6,1998-10-21,2020,6,28,"207"
"268","Quintez Cephus","Wisconsin","WR","00-0036277",26.2,1998-04-01,2020,5,20,"166"
"269","K.J. Hill","Ohio State","WR","00-0036382",25.4,1997-09-15,2020,7,6,"220"
"270","Collin Johnson","Texas","WR","00-0036254",26.7,1997-09-23,2020,5,19,"165"
"271","Binjimen Victor","Ohio State","WR","00-0035819",27.1,1997-01-15,2020,NA,NA,NA
"272","Austin Mack","Ohio State","WR","00-0035869",25.5,1997-08-31,2020,NA,NA,NA
"273","Quartney Davis","Texas A&M","WR","00-0035978",24.9,1998-04-07,2020,NA,NA,NA
"274","Donovan Peoples-Jones","Michigan","WR","00-0036233",25.3,1999-02-19,2020,6,8,"187"
"275","Van Jefferson","Florida","WR","00-0036415",27.9,1996-07-26,2020,2,25,"57"
"276","Trishton Jackson","Syracuse","WR","00-0035934",26.2,1998-03-09,2020,NA,NA,NA
"277","Jauan Jennings","Tennessee","WR","00-0036259",26.9,1997-07-10,2020,7,3,"217"
"278","Joe Reed","Virginia","WR","00-0036377",26.4,1998-01-04,2020,5,5,"151"
"279","Antonio Gandy-Golden","Liberty","WR","00-0036340",24.9,1998-04-11,2020,4,36,"142"
"280","Tyler Johnson","Minnesota","WR","00-0036427",25.8,1998-08-25,2020,5,15,"161"
"281","Freddie Swain","Florida","WR","00-0036247",25.8,1998-08-04,2020,6,35,"214"
"282","Jeff Thomas","Miami","WR",NA,24.7,1997-06-17,2020,NA,NA,NA
"283","John Hightower","Boise State","WR","00-0036398",27.7,1996-05-31,2020,5,22,"168"
"284","Isaiah Coulter","Rhode Island","WR","00-0036308",25.4,1998-09-18,2020,5,25,"171"
"285","Darnell Mooney","Tulane","WR","00-0036309",26.6,1997-10-29,2020,5,27,"173"
"286","K.J. Osborn","Miami","WR","00-0036345",27,1997-06-10,2020,5,30,"176"
"287","Quez Watkins","Southern Mississippi","WR","00-0036271",26,1998-06-09,2020,6,21,"200"
"288","Dezmon Patmon","Washington State","WR","00-0036228",25.5,1998-08-06,2020,6,33,"212"
"289","Malcolm Perry","Navy","WR","00-0036245",25.9,1997-04-19,2020,7,32,"246"
"290","Tyrie Cleveland","Florida","WR","00-0036439",26.7,1997-09-20,2020,7,38,"252"
"291","Marquez Callaway","Tennessee","WR","00-0036219",26.2,1998-03-27,2020,NA,NA,NA
